Animal,Age,Gender,Breed,WBC,RBC,Hemoglobin,Platelets,Glucose,ALT,AST,Urea,Creatinine,Symptom_Fever,Symptom_Lethargy,Symptom_Vomiting,Symptom_Diarrhea,Symptom_WeightLoss,Symptom_SkinLesion,Symptom_Coughing,Symptom_Lameness,Category,Disease
Duck,1.6,Male,Purebred,8.4,5.8,13.8,212.0,86.0,36.0,48.0,16.0,1.0,0,0,1,1,0,0,0,0,Gastrointestinal,Coccidiosis GI
Lizard,13.6,Male,Crossbreed,15.7,6.3,13.6,294.0,116.0,57.0,56.0,18.0,1.4,1,0,0,0,0,0,0,0,Viral,Paramyxovirus
Snake,2.4,Female,Crossbreed,6.4,6.0,14.5,214.0,94.0,60.0,35.0,29.0,1.2,0,0,0,0,0,0,0,0,Metabolic,Nutritional Deficiencies
Fish,1.1,Female,Purebred,9.8,5.4,14.5,311.0,84.0,49.0,44.0,28.0,1.4,0,0,0,0,1,0,0,0,Parasitic,Gyrodactylus
Alpaca,1.3,Male,Crossbreed,7.8,6.6,12.1,211.0,83.0,49.0,40.0,22.0,0.9,0,0,1,1,0,0,0,0,Gastrointestinal,Diarrhea
Turkey,2.9,Male,Crossbreed,9.8,6.5,13.0,372.0,100.0,44.0,54.0,16.0,1.1,0,0,0,0,0,0,0,0,Cardiovascular,Endocarditis
Pig,5.2,Male,Mixed,6.6,6.2,13.0,348.0,98.0,59.0,43.0,28.0,1.1,0,0,0,0,0,0,0,0,Cardiovascular,Pericarditis
Turkey,9.3,Male,Purebred,12.2,5.4,14.4,364.0,90.0,57.0,57.0,19.0,1.0,1,0,0,0,0,0,0,0,Bacterial,Fowl Cholera
Fish,3.0,Male,Purebred,14.0,5.7,14.0,226.0,98.0,24.0,22.0,32.0,0.9,0,0,0,0,0,0,0,0,Bacterial,Columnaris
Duck,14.4,Female,Mixed,6.3,6.4,13.4,399.0,92.0,30.0,43.0,32.0,0.9,0,0,0,0,0,0,1,0,Respiratory,Bronchitis
Duck,1.7,Female,Purebred,8.0,5.4,15.9,398.0,106.0,25.0,40.0,26.0,1.2,0,0,0,0,0,0,0,0,Cardiovascular,Arrhythmia
GuineaPig,10.8,Male,Mixed,8.7,5.2,14.5,256.0,100.0,51.0,48.0,17.0,1.2,0,0,0,0,0,0,1,0,Respiratory,Pneumonia
Fish,10.7,Female,Mixed,7.1,5.6,15.6,272.0,83.0,44.0,25.0,31.0,1.2,0,0,0,0,0,0,0,1,Musculoskeletal,Spinal Deformity
Parrot,2.8,Female,Crossbreed,18.3,5.7,12.6,316.0,104.0,28.0,28.0,35.0,1.0,1,0,0,0,0,0,0,0,Bacterial,Psittacosis
Fish,5.5,Male,Crossbreed,7.0,6.2,15.6,261.0,79.0,102.0,50.0,34.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Malnutrition
Turkey,6.5,Male,Crossbreed,9.0,5.8,13.4,302.0,140.0,62.0,52.0,28.0,1.4,0,0,0,0,0,0,0,0,Metabolic,Ascites Syndrome
Ferret,1.2,Male,Purebred,12.6,5.3,13.5,348.0,92.0,43.0,37.0,17.0,1.0,1,0,0,0,0,0,0,0,Viral,Canine Distemper
Rabbit,9.8,Male,Crossbreed,7.4,5.4,12.7,262.0,81.0,51.0,36.0,31.0,1.3,0,0,0,0,0,0,0,0,Parasitic,Fur Mites
Lizard,8.6,Female,Crossbreed,7.0,6.2,13.4,306.0,139.0,79.0,60.0,26.0,1.4,0,0,0,0,0,0,0,0,Metabolic,Hypovitaminosis A
Ferret,4.5,Female,Purebred,7.9,5.8,14.9,382.0,120.0,92.0,44.0,21.0,1.3,0,0,0,0,0,0,0,0,Metabolic,Insulinoma
Horse,14.4,Female,Purebred,6.8,6.4,13.1,253.0,115.0,26.0,23.0,20.0,1.2,0,0,0,0,0,0,0,1,Musculoskeletal,Laminitis
Turtle,9.9,Male,Purebred,10.6,6.0,14.6,310.0,91.0,52.0,27.0,33.0,1.5,1,0,0,0,0,0,0,0,Viral,Picornavirus
Chicken,13.8,Male,Purebred,6.8,6.1,12.9,241.0,102.0,36.0,43.0,35.0,1.4,0,0,0,0,0,0,0,0,Respiratory,Chronic Respiratory Disease
Ferret,9.6,Male,Mixed,6.9,5.9,15.2,385.0,131.0,84.0,26.0,25.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Liver Disease
Alpaca,3.1,Male,Purebred,6.3,4.6,14.1,281.0,82.0,58.0,58.0,21.0,1.3,0,0,0,0,0,0,0,0,Parasitic,Meningeal Worm
Rabbit,2.8,Female,Purebred,9.2,6.0,14.6,238.0,106.0,69.0,41.0,31.0,1.3,0,0,0,0,0,0,0,0,Metabolic,Urolithiasis
Lizard,2.7,Female,Crossbreed,6.4,6.7,14.1,277.0,82.0,35.0,56.0,15.0,1.1,0,0,0,0,0,0,0,1,Musculoskeletal,Fractures
Dog,2.9,Male,Mixed,16.5,6.8,12.4,242.0,95.0,52.0,31.0,33.0,0.8,1,0,0,0,0,0,0,0,Bacterial,Brucellosis
Turtle,5.2,Male,Crossbreed,8.6,4.3,14.0,227.0,113.0,35.0,41.0,16.0,0.8,0,0,0,0,1,0,0,0,Parasitic,Roundworms
Fish,2.0,Male,Mixed,6.7,5.2,15.0,378.0,109.0,52.0,60.0,18.0,1.5,0,0,1,1,0,0,0,0,Gastrointestinal,Intestinal Blockage
Pig,13.3,Male,Mixed,7.3,6.9,12.3,392.0,90.0,20.0,37.0,22.0,1.2,0,0,1,1,0,0,0,0,Gastrointestinal,Colitis
GuineaPig,9.8,Female,Mixed,8.9,5.1,12.8,308.0,87.0,38.0,52.0,24.0,0.9,0,0,0,0,0,0,0,0,Parasitic,Giardia
Horse,0.6,Male,Mixed,10.8,5.6,15.5,204.0,102.0,49.0,45.0,30.0,1.3,1,0,0,0,0,0,0,0,Viral,West Nile Virus
Chicken,8.6,Female,Crossbreed,7.3,6.9,13.4,228.0,96.0,40.0,45.0,25.0,1.2,0,0,0,0,0,0,0,0,Respiratory,Aspergillosis
Turtle,14.8,Female,Purebred,9.6,5.6,12.4,250.0,91.0,59.0,47.0,34.0,1.4,0,0,0,0,0,0,1,0,Respiratory,Respiratory Infection
Ferret,10.2,Female,Mixed,7.6,4.8,12.1,297.0,114.0,40.0,42.0,19.0,1.4,0,0,0,0,1,0,0,0,Parasitic,Ear Mites
Sheep,10.3,Female,Crossbreed,9.8,5.6,15.6,315.0,99.0,24.0,54.0,30.0,0.8,0,0,0,0,0,0,0,0,Cardiovascular,Pericarditis
Chicken,2.5,Female,Mixed,6.8,5.4,15.7,343.0,109.0,52.0,34.0,30.0,1.5,0,0,0,0,0,0,1,0,Respiratory,Chronic Respiratory Disease
Fish,13.1,Male,Purebred,7.1,6.8,15.8,297.0,104.0,75.0,40.0,34.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Dropsy
Dog,5.9,Female,Mixed,9.9,6.1,12.5,271.0,83.0,54.0,21.0,34.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Liver Disease
Alpaca,1.1,Female,Purebred,11.9,5.2,13.3,284.0,86.0,40.0,23.0,16.0,1.2,0,0,0,0,0,0,0,0,Bacterial,Anthrax
Horse,11.0,Male,Purebred,8.3,6.3,12.0,396.0,96.0,41.0,28.0,27.0,1.4,0,0,0,0,0,0,0,1,Musculoskeletal,Arthritis
Dog,6.4,Male,Crossbreed,7.5,6.5,15.5,377.0,89.0,56.0,34.0,21.0,1.3,0,0,0,0,0,0,0,1,Musculoskeletal,Cruciate Ligament Rupture
Rabbit,8.3,Female,Purebred,6.5,5.0,13.8,382.0,92.0,28.0,57.0,17.0,0.8,0,0,0,0,0,0,1,0,Respiratory,Aspergillosis
Turkey,11.1,Female,Crossbreed,9.1,6.4,13.8,397.0,95.0,37.0,32.0,29.0,1.4,0,0,0,0,0,0,0,0,Metabolic,Rickets
Horse,12.0,Male,Purebred,10.4,6.6,15.7,212.0,96.0,60.0,44.0,25.0,0.9,1,0,0,0,0,0,0,0,Bacterial,Salmonellosis
Sheep,10.2,Male,Mixed,7.0,6.1,14.2,354.0,110.0,47.0,38.0,33.0,1.2,0,0,0,0,0,0,0,1,Musculoskeletal,Arthritis
Sheep,3.3,Male,Mixed,7.5,3.8,13.5,243.0,101.0,47.0,52.0,20.0,0.9,0,0,0,0,0,0,0,0,Parasitic,Liver Fluke
Goat,10.7,Male,Crossbreed,8.7,6.7,15.4,234.0,93.0,97.0,51.0,31.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Copper Deficiency
Dog,10.9,Female,Mixed,9.5,5.7,16.0,288.0,91.0,66.0,57.0,31.0,1.3,0,0,0,0,0,0,0,0,Metabolic,Liver Disease
Rabbit,11.0,Male,Crossbreed,7.1,6.4,15.4,296.0,90.0,88.0,42.0,35.0,1.1,0,0,0,0,0,0,0,0,Metabolic,Hypocalcemia
Turkey,14.3,Female,Purebred,6.6,4.9,14.5,356.0,107.0,47.0,26.0,22.0,0.8,0,0,0,0,1,0,0,0,Parasitic,Capillaria
Dog,1.3,Female,Purebred,6.4,5.2,15.3,315.0,89.0,22.0,42.0,18.0,1.0,0,0,0,0,0,0,0,0,Cardiovascular,Pericardial Effusion
GuineaPig,14.4,Male,Crossbreed,8.2,6.6,14.1,271.0,90.0,23.0,41.0,33.0,1.2,0,0,0,0,0,0,0,1,Musculoskeletal,Pododermatitis
Cat,13.0,Male,Purebred,6.9,6.9,15.2,211.0,120.0,48.0,26.0,20.0,1.3,0,0,0,0,0,0,0,1,Musculoskeletal,Hip Dysplasia
Turkey,11.2,Male,Purebred,6.9,5.2,13.3,332.0,95.0,42.0,50.0,23.0,1.5,0,0,0,0,0,0,1,0,Respiratory,Airsacculitis
Goat,2.1,Male,Mixed,13.6,6.6,13.4,386.0,85.0,21.0,32.0,31.0,1.3,1,0,0,0,0,0,0,0,Bacterial,Tetanus
Alpaca,7.2,Male,Purebred,8.6,6.9,12.4,267.0,99.0,47.0,40.0,33.0,1.2,0,0,0,0,0,0,0,0,Respiratory,Pleuropneumonia
Sheep,5.1,Female,Purebred,9.4,5.9,14.8,327.0,118.0,28.0,60.0,32.0,1.2,0,0,0,0,0,0,0,0,Cardiovascular,Myocarditis
Sheep,8.0,Female,Purebred,8.6,6.1,12.0,241.0,111.0,31.0,40.0,21.0,1.4,0,0,0,0,0,0,0,1,Musculoskeletal,Arthritis
Snake,1.1,Female,Mixed,7.2,6.4,14.3,275.0,106.0,27.0,23.0,32.0,1.2,0,0,1,1,0,0,0,0,Gastrointestinal,Impaction
Ferret,9.5,Female,Purebred,9.9,6.9,15.9,373.0,140.0,38.0,53.0,29.0,1.5,0,0,0,0,0,0,0,0,Metabolic,Hypoglycemia
Chicken,3.7,Male,Crossbreed,8.4,5.7,13.5,227.0,118.0,50.0,20.0,30.0,1.3,0,0,0,1,0,0,0,0,Gastrointestinal,Sour Crop
Dog,11.8,Female,Crossbreed,6.7,6.3,15.7,265.0,95.0,80.0,33.0,33.0,0.8,0,0,0,0,0,0,0,0,Metabolic,Kidney Disease
Chicken,3.2,Male,Crossbreed,9.8,5.6,14.8,372.0,95.0,59.0,31.0,21.0,1.4,0,0,0,0,0,0,0,0,Cardiovascular,Pericarditis
Rabbit,4.0,Female,Crossbreed,14.8,6.3,15.1,231.0,119.0,35.0,45.0,24.0,1.1,1,0,0,0,0,0,0,0,Viral,Rabbit Hemorrhagic Disease
Cattle,12.3,Male,Mixed,6.5,4.6,14.7,400.0,107.0,30.0,28.0,26.0,0.8,0,0,0,0,0,0,0,0,Cardiovascular,Endocarditis
Cat,12.4,Male,Crossbreed,9.4,5.4,13.6,396.0,99.0,105.0,29.0,25.0,1.4,0,0,0,0,0,0,0,0,Metabolic,Hyperthyroidism
Fish,10.9,Female,Mixed,7.4,4.1,13.3,292.0,118.0,33.0,56.0,20.0,0.9,0,0,0,0,1,0,0,0,Parasitic,Gyrodactylus
Dog,7.1,Male,Mixed,15.0,6.0,12.6,379.0,92.0,49.0,51.0,34.0,1.1,1,0,0,0,0,0,0,0,Bacterial,Leptospirosis
Turtle,1.2,Male,Crossbreed,9.4,6.0,14.0,272.0,120.0,24.0,44.0,29.0,1.5,0,0,0,0,0,0,1,0,Respiratory,Bacterial Infection
Snake,5.9,Male,Crossbreed,9.3,4.3,13.6,378.0,101.0,55.0,45.0,27.0,0.8,0,0,0,0,1,0,0,0,Parasitic,Coccidia
Cattle,2.5,Male,Purebred,9.8,6.4,12.5,366.0,110.0,27.0,49.0,28.0,1.3,0,0,0,0,0,0,0,0,Viral,Bovine Herpesvirus
Parrot,12.0,Male,Crossbreed,9.7,5.1,12.0,340.0,91.0,33.0,42.0,17.0,1.2,0,0,0,0,0,0,0,1,Musculoskeletal,Perosis
Sheep,0.6,Male,Crossbreed,8.3,6.1,15.0,334.0,91.0,30.0,39.0,30.0,0.9,0,0,1,1,0,0,0,0,Gastrointestinal,Enterotoxemia
Cat,9.5,Female,Crossbreed,7.9,6.9,14.9,222.0,88.0,59.0,49.0,33.0,1.0,0,0,0,0,0,0,0,1,Musculoskeletal,Fractures
Duck,5.0,Female,Crossbreed,9.0,6.0,14.6,302.0,81.0,23.0,35.0,30.0,1.4,0,0,0,1,0,0,0,0,Gastrointestinal,Botulism
Llama,12.8,Female,Purebred,8.8,6.5,12.7,287.0,105.0,21.0,36.0,18.0,1.2,0,0,0,0,0,0,0,1,Musculoskeletal,Arthritis
Fish,0.9,Male,Mixed,13.6,7.0,15.9,393.0,94.0,60.0,38.0,32.0,1.0,1,0,0,0,0,0,0,0,Bacterial,Edwardsiella
Ferret,11.2,Male,Purebred,9.6,5.6,15.9,353.0,120.0,22.0,31.0,30.0,1.4,0,0,0,0,0,0,0,0,Gastrointestinal,Intestinal Blockage
Lizard,5.4,Female,Crossbreed,7.0,6.5,13.4,369.0,93.0,48.0,22.0,23.0,1.0,0,0,0,0,0,0,1,0,Respiratory,Pneumonia
Rabbit,12.5,Female,Purebred,9.9,6.6,12.3,343.0,101.0,21.0,30.0,33.0,1.4,0,0,0,0,0,0,0,1,Musculoskeletal,Spondylosis
Goat,0.6,Male,Purebred,6.1,5.2,12.9,301.0,114.0,54.0,45.0,34.0,1.2,0,0,0,0,0,0,1,0,Respiratory,Pasteurellosis
Snake,6.1,Female,Crossbreed,9.7,5.3,13.2,312.0,116.0,38.0,47.0,24.0,0.9,0,0,0,0,0,0,0,0,Cardiovascular,Arrhythmia
Llama,2.0,Male,Purebred,8.1,5.8,12.5,381.0,104.0,50.0,21.0,21.0,1.0,0,0,0,0,0,0,0,0,Parasitic,Lice
Horse,10.7,Male,Mixed,8.4,6.6,15.0,314.0,92.0,50.0,28.0,31.0,1.4,0,0,0,0,0,0,1,0,Respiratory,Equine Asthma
Goat,5.3,Male,Crossbreed,6.5,5.9,15.3,355.0,89.0,26.0,36.0,33.0,0.9,0,0,0,0,0,0,1,0,Respiratory,Pasteurellosis
GuineaPig,10.5,Female,Mixed,9.5,7.0,14.0,366.0,95.0,47.0,30.0,31.0,1.5,0,0,0,0,0,0,0,0,Metabolic,Pregnancy Toxemia
Sheep,7.6,Male,Crossbreed,15.4,6.8,13.7,285.0,86.0,30.0,57.0,18.0,1.5,1,0,0,0,0,0,0,0,Bacterial,Tetanus
Pig,7.2,Male,Purebred,7.1,4.9,14.1,263.0,108.0,49.0,33.0,28.0,1.0,0,0,0,0,0,0,0,0,Cardiovascular,Myocarditis
Snake,4.1,Female,Crossbreed,9.8,6.8,14.3,329.0,115.0,51.0,45.0,35.0,1.3,0,0,0,0,0,0,0,1,Musculoskeletal,Spinal Arthritis
Ferret,4.0,Female,Mixed,9.2,5.1,14.9,250.0,118.0,42.0,21.0,23.0,1.5,0,0,0,0,0,0,0,1,Musculoskeletal,Osteochondrosis
Chicken,3.9,Female,Crossbreed,6.4,5.9,12.1,269.0,108.0,24.0,56.0,33.0,0.9,0,0,1,1,0,0,0,0,Gastrointestinal,Coccidiosis GI
Llama,5.3,Female,Purebred,7.4,5.4,15.8,219.0,92.0,39.0,40.0,26.0,1.0,0,0,0,0,1,0,0,0,Parasitic,Mites
Cattle,7.6,Female,Crossbreed,8.0,5.2,12.5,390.0,81.0,114.0,30.0,24.0,1.3,0,0,0,0,0,0,0,0,Metabolic,Bloat
Horse,7.6,Male,Purebred,9.3,6.0,16.0,291.0,83.0,47.0,22.0,20.0,1.0,0,0,0,0,0,0,1,0,Respiratory,COPD
Goat,9.4,Male,Crossbreed,16.9,6.0,14.8,244.0,110.0,49.0,56.0,16.0,1.1,0,0,0,0,0,0,0,0,Bacterial,Tetanus
Turtle,13.9,Male,Crossbreed,8.9,6.2,14.0,394.0,94.0,126.0,48.0,20.0,1.4,0,0,0,0,0,0,0,0,Metabolic,Gout
Llama,9.7,Male,Crossbreed,11.5,5.6,12.9,281.0,81.0,57.0,35.0,35.0,1.3,1,0,0,0,0,0,0,0,Bacterial,Brucellosis
Cattle,7.7,Female,Purebred,9.3,6.0,13.4,264.0,90.0,36.0,46.0,19.0,1.5,1,0,0,0,0,0,0,0,Viral,Bluetongue
Chicken,8.1,Male,Mixed,11.3,5.5,13.0,277.0,112.0,35.0,28.0,16.0,0.9,1,0,0,0,0,0,0,0,Bacterial,Botulism
Pig,2.5,Female,Crossbreed,9.0,6.4,13.5,215.0,80.0,32.0,20.0,20.0,1.1,0,0,0,0,0,0,1,0,Respiratory,Bronchitis
Snake,9.0,Female,Purebred,9.9,5.0,14.0,303.0,91.0,47.0,58.0,24.0,1.3,0,0,0,0,0,0,1,0,Respiratory,Aspergillosis
Turkey,10.7,Female,Mixed,9.7,5.1,14.8,266.0,87.0,40.0,40.0,18.0,0.9,0,0,0,0,0,0,0,1,Musculoskeletal,Leg Weakness
Duck,0.6,Male,Purebred,9.8,6.0,16.0,335.0,83.0,25.0,57.0,28.0,1.4,0,0,0,0,0,0,1,0,Respiratory,Bronchitis
Snake,3.2,Male,Mixed,6.8,5.8,12.5,233.0,98.0,34.0,39.0,24.0,1.3,0,0,1,0,0,0,0,0,Gastrointestinal,Impaction
Turkey,2.9,Male,Purebred,7.9,5.8,15.7,306.0,155.0,79.0,29.0,18.0,0.8,0,0,0,0,0,0,0,0,Metabolic,Fatty Liver
Snake,4.3,Female,Crossbreed,6.4,6.3,15.7,232.0,104.0,34.0,38.0,21.0,1.0,0,0,0,0,0,0,0,0,Respiratory,Bacterial URI
Parrot,14.9,Male,Mixed,7.6,6.7,14.2,263.0,110.0,50.0,40.0,16.0,0.9,0,0,0,0,0,0,0,1,Musculoskeletal,Bumblefoot
Duck,14.7,Female,Crossbreed,12.1,6.9,13.8,397.0,92.0,30.0,46.0,23.0,1.2,1,0,0,0,0,0,0,0,Bacterial,Pasteurellosis
Sheep,13.7,Female,Purebred,9.8,6.3,13.3,202.0,119.0,40.0,58.0,26.0,1.2,0,0,1,1,0,0,0,0,Gastrointestinal,Acidosis
Lizard,10.3,Female,Crossbreed,7.2,5.4,12.5,247.0,106.0,38.0,42.0,17.0,1.4,0,0,0,0,0,0,0,1,Musculoskeletal,Metabolic Bone Disease
Pig,9.8,Male,Purebred,6.2,6.6,14.8,252.0,113.0,88.0,38.0,29.0,1.1,0,0,0,0,0,0,0,0,Metabolic,Hepatosis Dietetica
Ferret,13.6,Female,Mixed,15.5,6.5,12.1,337.0,98.0,41.0,42.0,30.0,1.4,1,0,0,0,0,0,0,0,Bacterial,Mycobacterium
GuineaPig,5.2,Female,Purebred,6.7,5.0,13.3,373.0,82.0,37.0,50.0,34.0,1.5,0,0,0,0,0,0,0,1,Musculoskeletal,Fractures
Lizard,7.0,Female,Crossbreed,8.1,4.8,13.3,379.0,98.0,36.0,22.0,22.0,1.4,0,0,0,0,0,0,0,0,Parasitic,Internal Worms
Cat,7.7,Female,Crossbreed,9.0,5.4,15.5,390.0,81.0,59.0,55.0,23.0,1.4,0,0,0,0,1,0,0,0,Parasitic,Roundworm
Turtle,0.9,Female,Mixed,9.8,6.0,14.1,345.0,93.0,45.0,49.0,18.0,0.9,0,0,0,0,0,0,0,0,Cardiovascular,Myocarditis
Lizard,5.0,Male,Mixed,8.6,6.4,14.2,337.0,101.0,48.0,22.0,22.0,0.9,0,0,0,0,0,0,0,0,Musculoskeletal,Metabolic Bone Disease
Sheep,7.7,Female,Purebred,6.2,5.5,13.6,290.0,117.0,42.0,22.0,23.0,1.1,0,0,1,1,0,0,0,0,Gastrointestinal,Bloat
Chicken,11.7,Female,Crossbreed,9.6,6.6,12.9,396.0,118.0,62.0,40.0,30.0,0.9,0,0,0,0,0,0,0,0,Metabolic,Fatty Liver Syndrome
Dog,6.3,Male,Crossbreed,7.1,5.9,13.4,366.0,119.0,57.0,27.0,15.0,1.1,0,0,0,0,0,0,0,0,Cardiovascular,Pericardial Effusion
Duck,14.6,Female,Purebred,12.0,7.0,16.0,295.0,119.0,36.0,21.0,19.0,1.5,1,0,0,0,0,0,0,0,Bacterial,Salmonellosis
Turkey,1.4,Male,Mixed,8.7,6.5,13.0,301.0,113.0,35.0,25.0,24.0,1.2,0,0,0,0,0,0,0,0,Musculoskeletal,Perosis
Chicken,9.9,Female,Crossbreed,8.7,7.0,12.1,218.0,83.0,36.0,53.0,32.0,1.3,0,0,1,1,0,0,0,0,Gastrointestinal,Pendulous Crop
Cat,13.2,Female,Purebred,7.7,5.5,12.1,358.0,113.0,29.0,26.0,18.0,1.1,0,0,0,0,0,0,0,1,Musculoskeletal,Muscular Dystrophy
Chicken,11.8,Male,Mixed,7.1,6.5,14.4,203.0,134.0,73.0,55.0,33.0,1.1,0,0,0,0,0,0,0,0,Metabolic,Gout
Alpaca,13.4,Male,Purebred,9.3,6.1,12.1,217.0,103.0,65.0,43.0,20.0,1.3,0,0,0,0,0,0,0,0,Metabolic,Hepatic Lipidosis
Cattle,13.2,Male,Purebred,9.5,5.5,12.7,204.0,84.0,26.0,23.0,33.0,1.4,0,0,0,0,0,0,0,0,Cardiovascular,Pericarditis
Turtle,8.3,Male,Mixed,9.1,6.7,15.1,367.0,111.0,53.0,38.0,35.0,1.5,0,0,0,0,0,0,0,0,Metabolic,Gout
GuineaPig,0.9,Female,Mixed,12.9,6.0,14.3,233.0,89.0,29.0,37.0,34.0,1.2,1,0,0,0,0,0,0,0,Viral,Cavian Leukemia
Rabbit,6.9,Female,Purebred,8.3,5.1,12.3,205.0,90.0,24.0,33.0,30.0,1.3,0,0,0,0,0,0,0,0,Cardiovascular,Arrhythmia
Pig,10.8,Male,Mixed,12.7,5.7,14.5,393.0,95.0,21.0,38.0,26.0,1.4,1,0,0,0,0,0,0,0,Bacterial,Swine Erysipelas
Ferret,2.3,Female,Crossbreed,6.8,5.3,14.4,227.0,106.0,52.0,37.0,26.0,1.4,0,0,0,0,0,0,0,1,Musculoskeletal,Osteochondrosis
Cat,13.4,Female,Purebred,7.7,6.3,12.7,287.0,105.0,35.0,34.0,15.0,1.4,0,0,1,1,0,0,0,0,Gastrointestinal,Enterocolitis
Rabbit,15.0,Male,Purebred,13.0,6.4,15.4,202.0,89.0,47.0,56.0,29.0,1.1,1,0,0,0,0,0,0,0,Bacterial,Pasteurellosis
Chicken,8.0,Male,Mixed,9.1,6.9,12.2,208.0,109.0,80.0,49.0,17.0,0.8,0,0,0,0,0,0,0,0,Metabolic,Ascites
GuineaPig,8.8,Male,Crossbreed,6.8,7.0,12.8,322.0,137.0,99.0,50.0,27.0,0.8,0,0,0,0,0,0,0,0,Metabolic,Urinary Calculi
Chicken,6.9,Female,Purebred,9.9,6.2,13.6,323.0,116.0,53.0,39.0,20.0,0.9,0,0,0,0,0,0,0,0,Cardiovascular,Pericarditis
GuineaPig,7.5,Male,Mixed,7.2,5.2,14.7,254.0,89.0,24.0,22.0,32.0,0.8,0,0,0,0,0,0,0,0,Cardiovascular,Pericarditis
Duck,3.3,Female,Purebred,12.8,6.5,15.0,231.0,87.0,23.0,33.0,24.0,1.5,1,0,0,0,0,0,0,0,Viral,Avian Influenza
Snake,11.8,Female,Mixed,8.7,4.9,13.0,335.0,119.0,39.0,26.0,17.0,1.0,0,0,0,0,1,0,0,0,Parasitic,Cryptosporidium
Chicken,9.3,Female,Mixed,16.0,6.6,15.1,305.0,91.0,52.0,27.0,21.0,0.9,1,0,0,0,0,0,0,0,Viral,Fowl Pox
Goat,15.0,Male,Crossbreed,7.7,5.6,13.4,255.0,119.0,55.0,33.0,21.0,0.9,0,0,0,0,0,0,0,0,Cardiovascular,Endocarditis
Alpaca,13.6,Female,Purebred,9.2,4.7,14.8,286.0,96.0,60.0,44.0,22.0,1.0,0,0,0,0,0,0,0,0,Cardiovascular,Endocarditis
GuineaPig,5.8,Male,Crossbreed,9.1,6.0,15.5,318.0,90.0,43.0,20.0,21.0,0.9,0,0,0,0,0,0,1,0,Respiratory,Bordetella Infection
Sheep,0.5,Female,Purebred,7.2,4.7,12.5,231.0,113.0,47.0,39.0,33.0,0.8,0,0,0,0,0,0,0,0,Cardiovascular,Endocarditis
Cattle,14.7,Male,Mixed,6.2,5.8,14.9,241.0,106.0,47.0,30.0,27.0,1.3,0,0,0,0,0,0,0,1,Musculoskeletal,Footrot
Goat,6.2,Male,Purebred,8.4,6.7,14.4,322.0,111.0,64.0,38.0,35.0,1.3,0,0,0,0,0,0,0,0,Metabolic,Copper Deficiency
Goat,3.5,Female,Mixed,7.3,5.8,15.5,266.0,119.0,27.0,30.0,24.0,1.4,0,0,0,0,0,0,0,1,Musculoskeletal,Footrot
Rabbit,4.8,Male,Crossbreed,7.9,5.1,13.0,233.0,96.0,23.0,41.0,32.0,0.9,0,0,0,0,0,0,0,0,Cardiovascular,Myocarditis
GuineaPig,1.7,Male,Crossbreed,6.6,5.1,14.3,397.0,97.0,28.0,41.0,28.0,1.0,0,0,0,0,0,0,1,0,Respiratory,Pneumonia
Lizard,5.2,Female,Crossbreed,7.6,4.2,15.0,273.0,115.0,57.0,21.0,35.0,1.3,0,0,0,0,1,0,0,0,Parasitic,Cryptosporidium
Lizard,13.6,Male,Mixed,7.8,5.3,12.8,338.0,87.0,42.0,46.0,33.0,1.1,0,0,0,0,0,0,0,0,Parasitic,Internal Worms
Parrot,9.3,Male,Mixed,16.3,5.4,15.4,269.0,118.0,23.0,39.0,27.0,1.0,1,0,0,0,0,0,0,0,Viral,Psittacine Beak Feather Disease
Sheep,1.6,Male,Purebred,7.7,5.5,14.7,225.0,129.0,71.0,34.0,28.0,0.8,0,0,0,0,0,0,0,0,Metabolic,Acidosis
Horse,14.1,Female,Purebred,8.1,5.5,15.4,344.0,121.0,116.0,29.0,16.0,1.0,0,0,0,0,0,0,0,0,Metabolic,Colic
Cattle,7.4,Male,Crossbreed,6.2,4.0,12.3,202.0,92.0,36.0,30.0,16.0,1.2,0,0,0,0,1,0,0,0,Parasitic,Lungworm
Ferret,9.2,Female,Purebred,6.5,6.2,13.6,381.0,116.0,51.0,48.0,17.0,0.9,0,0,0,0,0,0,1,0,Respiratory,Pneumonia
GuineaPig,5.7,Female,Crossbreed,7.0,5.3,12.6,273.0,100.0,23.0,58.0,30.0,1.3,0,0,0,0,0,0,0,1,Musculoskeletal,Scurvy Joints
Llama,5.0,Female,Crossbreed,9.6,4.1,14.6,209.0,112.0,53.0,56.0,19.0,0.9,0,0,0,0,0,0,0,0,Parasitic,Coccidia
Cattle,2.0,Female,Crossbreed,6.2,4.9,13.7,264.0,108.0,55.0,51.0,26.0,0.9,0,0,0,0,0,0,0,0,Cardiovascular,Pericarditis
Alpaca,1.8,Female,Mixed,7.8,5.3,12.7,325.0,95.0,22.0,57.0,23.0,1.2,0,0,1,1,0,0,0,0,Gastrointestinal,Gastric Ulcers
Sheep,4.4,Male,Crossbreed,7.0,5.9,15.2,249.0,109.0,52.0,34.0,18.0,0.9,0,0,0,0,0,0,0,0,Cardiovascular,Arrhythmia
